Update Time Stamp,Tested As Of,Total Samples Tested,Total Individuals Tested,Total Positive Cases,Tests conducted by Private Labs,Sample Reported today,Positive cases from samples reported,Source,Source 1,Test positivity rate,Individuals Tested Per Confirmed Case,Tests Per Confirmed Case,Tests per million
13/03/2020 00:00:00,13/03/2020,6500,5900,78,,,,Press_Release_ICMR_13March2020.pdf,,1.20%,75.64,83.33,5
18/03/2020 18:00:00,18/03/2020,13125,12235,150,,,,ICMR_website_update_18March_6PM_IST.pdf,,1.14%,81.57,87.50,10
19/03/2020 10:00:00,19/03/2020,13316,12426,168,,,,ICMR_website_update_19March_10AM_IST_V2.pdf,,1.26%,73.96,79.26,10
19/03/2020 18:00:00,19/03/2020,14175,13285,182,,,,ICMR_website_update_19March_6PM_IST.pdf,,1.28%,72.99,77.88,11
20/03/2020 10:00:00,20/03/2020,14376,13486,206,,,,ICMR_website_update_20March_10AM_IST.pdf,,1.43%,65.47,69.79,11
20/03/2020 18:00:00,20/03/2020,15404,14514,236,,,,ICMR_website_update_20March_6PM_IST.pdf,,1.53%,61.50,65.27,12
21/03/2020 10:00:00,21/03/2020,15701,14811,271,,,,ICMR_website_update_21March_10AM_IST.pdf,,1.73%,54.65,57.94,12
21/03/2020 18:00:00,21/03/2020,16911,16021,315,,,,ICMR_website_update_21March_6PM_IST.pdf,,1.86%,50.86,53.69,13
22/03/2020 10:00:00,22/03/2020,16999,16109,341,,,,ICMR_website_update_22March_10AM_IST.pdf,,2.01%,47.24,49.85,13
22/03/2020 18:00:00,22/03/2020,18127,17237,396,,,,ICMR_website_update_22March_6PM_IST.pdf,,2.18%,43.53,45.78,14
23/03/2020 10:00:00,23/03/2020,18383,17493,415,,,,ICMR_website_update_23March_10AM_IST.pdf,,2.26%,42.15,44.30,14
23/03/2020 20:00:00,23/03/2020,20707,19817,471,,,,ICMR_website_update_23March_8PM_IST.pdf,,2.27%,42.07,43.96,16
24/03/2020 10:00:00,24/03/2020,20864,19974,482,,,,ICMR_website_update_24March_10AM_IST.pdf,,2.31%,41.44,43.29,16
24/03/2020 20:00:00,24/03/2020,22694,21804,536,,,,ICMR_website_update_24March_8PM_IST.pdf,,2.36%,40.68,42.34,17
25/03/2020 10:00:00,25/03/2020,22928,22038,539,,,,ICMR_website_update_25March_10AM_IST.pdf,,2.35%,40.89,42.54,17
25/03/2020 20:00:00,25/03/2020,25144,24254,581,,,,ICMR_website_update_25March_8PM_IST.pdf,,2.31%,41.75,43.28,19
26/03/2020 10:00:00,26/03/2020,,,,,,,,,,,,
27/03/2020 09:00:00,26/03/2020,27688,26798,691,,,,ICMR_website_update_27March_9AM_IST.pdf,,2.50%,38.78,40.07,21
30/03/2020 00:00:00,30/03/2020,38442,,,1334,,,MoH Press conference with Dr. Raman G,,0.00%,,,29
31/03/2020 00:00:00,31/03/2020,42788,,,1733,,,MoH Press conference with Dr. Raman G,,0.00%,,,32
01/04/2020 00:00:00,01/04/2020,47951,,1637,4562,,,https://twitter.com/PTI_News/status/1245308976440340482,,3.41%,0.00,29.29,36
02/04/2020 21:00:00,02/04/2020,55851,,2056,,,,ICMR_testing_update_02April_9PM_IST.pdf,,3.68%,0.00,27.16,42
03/04/2020 09:00:00,03/04/2020,56680,,2183,,,,ICMR_testing_update_03April_9AM_IST.pdf,,3.85%,0.00,25.96,43
03/04/2020 21:00:00,03/04/2020,69245,,2653,,10034,575,ICMR_testing_update_03April_9PM_IST.pdf,,3.83%,0.00,26.10,52
04/04/2020 21:00:00,04/04/2020,79950,,3113,,,,https://icmr.nic.in/sites/default/files/whats_new/ICMR_testing_update_04April_9PM_IST.pdf,,3.89%,0.00,25.68,60
05/04/2020 21:00:00,05/04/2020,89534,,3554,,9369,295,https://icmr.nic.in/sites/default/files/whats_new/ICMR_testing_update_05April_9PM_IST.pdf,,3.97%,0.00,25.19,67
06/04/2020 21:00:00,06/04/2020,101068,,4135,,11432,311,https://icmr.nic.in/sites/default/files/whats_new/ICMR_testing_update_06April_9PM_IST.pdf,,4.09%,0.00,24.44,76
07/04/2020 21:00:00,07/04/2020,114015,,4616,,12584,285,ICMR_testing_update_07April_9PM_IST.pdf,,4.05%,0.00,24.70,86
08/04/2020 21:00:00,08/04/2020,127919,,5114,,13143,320,https://icmr.nic.in/sites/default/files/whats_new/ICMR_testing_update_08April_9PM_IST.pdf,,4.00%,0.00,25.01,96
09/04/2020 21:00:00,09/04/2020,144910,130792,5705,,16002,320,https://icmr.nic.in/sites/default/files/whats_new/ICMR_testing_update_09April_9PM_IST.pdf,,3.94%,22.93,25.40,109
10/04/2020 21:00:00,10/04/2020,161330,147034,6872,,15663,433,https://icmr.nic.in/sites/default/files/whats_new/ICMR_testing_update_10April_9PM_IST.pdf,,4.26%,21.40,23.48,121
11/04/2020 21:00:00,11/04/2020,179374,164773,7703,,17143,600,https://icmr.nic.in/sites/default/files/whats_new/ICMR_testing_update_11April_9PM_IST.pdf,,4.29%,21.39,23.29,135
